Source,Author,Title,Description,URL,Published At,Content
heise online,Mark Mantel,Account-Sharing bei Netflix: Ein Mittelfinger an alle Singles,"Dass Netflix 4K-Auflösung ans teure Familienabo bindet, konnten Singles dank Account-Sharing verkraften. Eine Frechheit, dass diese Möglichkeit nur wegfällt.",https://www.heise.de/meinung/Account-Sharing-bei-Netflix-Ein-Mittelfinger-an-alle-Singles-9065508.html?wt_mc=rss.red.ho.ho.atom.beitrag.beitrag,2023-05-25T14:19:00Z,"Netflix geht neuerdings aktiv gegen das Teilen von Passwörtern vor. Das trifft vor allem anspruchsvolle Single-Haushalte, denn sie werden dazu gezwungen, das teure Premium-/Familien-Abo abzuschließen… [+2916 chars]"
heise online,Daniel Herbig,Netflix: Abo-Zahlen steigen nach Account-Sharing-Sperre,"Seit Netflix verstärkt gegen Account-Sharing vorgeht, steigen die Abo-Zahlen – zumindest in den USA. Neuanmeldungen haben sich laut Marktforschern verdoppelt.",https://www.heise.de/news/Netflix-Abo-Zahlen-steigen-nach-Account-Sharing-Sperre-9184832.html,2023-06-12T10:58:00Z,"Die Netflix-Strategie gegen das Teilen von Accounts geht offenbar auf: Zumindest in den USA konnte Netflix Rekord-Nutzerzuwächse verbuchen, seitdem der Streaming-Dienst verstärkt gegen blinde Passagi… [+1610 chars]"
heise online,Andreas Knobloch,"Dienstag: EU genehmigt Activision Blizzard-Übernahme, Sono beantragt Insolvenz",EU erlaubt Activision-Deal + Sono Motors hat Probleme + Netflix spart + Weltpremiere in Schottland + Facebook verschickt automatisch Freundschaftsanfragen,https://www.heise.de/news/Dienstag-EU-genehmigt-Activision-Blizzard-Uebernahme-Sono-beantragt-Insolvenz-9056702.html,2023-05-16T04:30:00Z,"Die EU-Kommission hat keine Einwände gegen Microsofts geplanten Kauf von Activision Blizzard für 69 Milliarden US-Dollar. Ob der Deal abgeschlossen werden kann, ist aber unklar. Der Münchner Solaraut… [+4196 chars]"
Journal du geek,Julie Hay,Netflix : Comment se désabonner ? (Tuto),"Vous voulez quitter Netflix ? Voici la marche à suivre si vous souhaitez vous désabonner. 
Netflix : Comment se désabonner ? (Tuto)",https://www.journaldugeek.com/2023/05/23/comment-se-desabonner-de-netflix-tuto/,2023-05-23T18:30:00Z,"Vous voulez quitter Netflix ? Voici la marche à suivre si vous souhaitez vous désabonner.Pour découvrir de nouvelles séries et de nouveaux films, Netflix est l’une des destinations les plus plébiscit… [+2940 chars]"
Digital Trends,Jason Struss,Heat is one of the best movies ever. Here’s why you should watch it on Netflix right now,"Heat is not only a great action movie, it's also one of the best films ever made. Here's why you should stream it on Netflix right now.",https://www.digitaltrends.com/movies/heat-is-one-of-the-best-movies-ever-watch-it-on-netflix-right-now/,2023-05-28T11:16:15Z,"There’s a reason why Netflix has a reputation as being the best streaming service out there. It consistently streams some of the best TV shows around, with this year alone bringing such wonderful and… [+8605 chars]"
Digital Trends,Trevor Mogg,Amazon reportedly considering ad-supported tier for Prime Video,Amazon is reportedly considering the launch of an ad-supported tier for its Prime Video service similar to those offered by rivals such as Netflix and Disney+.,https://www.digitaltrends.com/movies/amazon-considering-ad-supported-tier-prime-video/,2023-06-08T00:35:55Z,"Amazon could be close to launching an ad-supported tier for its Prime Video service, according to a Wall Street Journal report on Wednesday.
Citing people familiar with the proposed plan, the report… [+1826 chars]"
The Guardian,Victoria Bekiempis,Missing Illinois girl featured in Netflix series Unsolved Mysteries found,"Kayla Unbehaun disappeared in 2017 aged nine while under supervision of her mother and was discovered in North CarolinaA 15-year-old Illinois girl allegedly kidnapped by her mother six years ago was found alive in North Carolina on Saturday, less than a year …",https://www.theguardian.com/us-news/2023/may/17/kayla-unbehaun-found-netflix-unsolved-mysteries,2023-05-17T14:16:26Z,"A 15-year-old Illinois girl allegedly kidnapped by her mother six years ago was found alive in North Carolina on Saturday, less than a year after her disappearance was featured on the Netflix series … [+2546 chars]"
Journal du geek,Amandine Jonniaux,"Sur Netflix, la fin du partage de compte fonctionne finalement comme prévu","Et si Netflix avait raison depuis le début ?
Sur Netflix, la fin du partage de compte fonctionne finalement comme prévu",https://www.journaldugeek.com/2023/06/13/sur-netflix-la-fin-du-partage-de-compte-fonctionne-finalement-comme-prevu/,2023-06-13T08:00:14Z,"Après avoir suscité l’indignation à l’internationale, après avoir provoqué une vague de désabonnements massifs en Espagne et après avoir prédit la fin prématurée du géant de la SVOD, il semblerait qu… [+2759 chars]"
MacRumors,Joe Rossignol,Apple TV to Support VPN Apps on tvOS 17,"Apple announced tvOS 17 earlier this week with a handful of new features for the Apple TV, including FaceTime and a redesigned Control Center. Another new feature is support for VPN apps, although it remains to be seen if there will be any limitations.





V…",https://www.macrumors.com/2023/06/09/apple-tv-vpn-apps-tvos-17/,2023-06-09T13:48:52Z,"Apple announced tvOS 17 earlier this week with a handful of new features for the Apple TV, including FaceTime and a redesigned Control Center. Another new feature is support for VPN apps, although it… [+978 chars]"
Kotaku,Claire Jackson,Don't Forget About These Two Other Assassin's Creed Games We Just Saw,"While Assassin’s Creed Mirage is set to be a smaller, more focused return to form for the long-running stab-everything franchise, that doesn’t mean the rest of the series is doing the same. And today’s Ubisoft Forward event showed off a bit of what the series…",https://kotaku.com/assassins-creed-franchise-hexe-red-jade-infinity-1850528884,2023-06-12T19:55:00Z,"While Assassins Creed Mirage is set to be a smaller, more focused return to form for the long-running stab-everything franchise, that doesnt mean the rest of the series is doing the same. And todays … [+2132 chars]"
heise online,Daniel Herbig,Netflix geht jetzt in Deutschland und Österreich gegen Account-Sharing vor,"Jetzt aber wirklich: Netflix will das Teilen von Passwörtern auch in Deutschland und Österreich aktiv verhindern. Wer Personen zubuchen will, zahlt extra.",https://www.heise.de/news/Netflix-geht-jetzt-in-Deutschland-und-Oesterreich-gegen-Account-Sharing-vor-9063521.html,2023-05-23T22:02:00Z,"Inhaltsverzeichnis
Seit Monaten droht Netflix damit, nun wird es Realität: Der Streaming-Dienst will aktiv gegen Nutzer vorgehen, die ihr Konto mit anderen Personen außerhalb des Haushalts teilen. I… [+3866 chars]"
Boing Boing,Devin Nealy,Vox explains how A24 became one of the most consistent studios in Hollywood,"When did you first start to take notice of A24? Even if you're not a massive buff or the type to focus on production houses before watching a film, odds are there's at least one A24 film you're either in love with or marginally fond of.  — Read the rest",https://boingboing.net/2023/05/29/vox-explains-how-a24-became-one-of-the-most-consistent-studios-in-hollywood.html,2023-05-30T01:46:32Z,"When did you first start to take notice of A24? Even if you're not a massive buff or the type to focus on production houses before watching a film, odds are there's at least one A24 film you're eithe… [+723 chars]"
Boing Boing,Rusty Blazenhoff,A 'Matilda' musical number set to Rob Zombie,"A bunch of kids in school uniforms dancing to Rob Zombie shouldn't work but somehow does. Of course, the kids weren't originally choreographed to dance to his 1998 ""Dragula."" No, no. This is an inspired mashup by YouTuber That Costumed Guy. — Read the rest",https://boingboing.net/2023/05/30/a-matilda-musical-number-set-to-rob-zombie.html,2023-05-30T09:41:00Z,"A bunch of kids in school uniforms dancing to Rob Zombie shouldn't work but somehow does. Of course, the kids weren't originally choreographed to dance to his 1998 ""Dragula."" No, no. This is an inspi… [+549 chars]"
heise online,Nico Jurran,Prime Video spricht sich für Account-Sharing aus,"Amazons Videostreamingdienst hat sich in einem Tweet klargestellt, dass sein Abo auch Personen außerhalb des Haushalts des Kontoinhabers nutzen dürfen.",https://www.heise.de/news/Prime-Video-spricht-sich-fuer-Account-Sharing-aus-9066213.html,2023-05-26T07:16:00Z,"Seit Anfang dieser Woche geht Netflix auch in Deutschland und Österreich aktiv gegen Nutzer, die ihr Konto mit anderen Personen außerhalb des Haushalts teilen und kassiert dafür Kritik. Aus Sicht des… [+2784 chars]"
Google News,,"Denis Shapovalov advances, Felix Auger-Aliassime ousted at French Open - TSN","<ol><li>Denis Shapovalov advances, Felix Auger-Aliassime ousted at French Open  TSN
</li><li>Félix Auger-Aliassime vs Fabio Fognini - Round 1 Highlights I Roland-Garros 2023  Roland-Garros
</li><li>Caroline Garcia vs Xiyu Wang - Round 1 Highlights I Roland-…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnRzbi5jYS90ZW5uaXMvZGVuaXMtc2hhcG92YWxvdi1hZHZhbmNlcy1mZWxpeC1hdWdlci1hbGlhc3NpbWUtb3VzdGVkLWF0LWZyZW5jaC1vcGVuLTEuMTk2NjM4OdIBAA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,2023-05-29T13:46:29Z,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]"
Business Insider,Diamond Naga Siu,"10 Things in Tech: Say goodbye to the US car market as we know it, TikTok will pay for AR filters, and YouTubers share how they make money","In today's edition: IBM employee on sick leave for 15 years sues company, YouTubers share how to make money, and more headlines.",https://www.businessinsider.com/youtube-car-money-tiktok-ikea-italy-sick-oracle-ibm-2023-5,2023-05-17T10:30:08Z,"We made it to the middle of the week. I'm Diamond Naga Siu, and I'm taking a few days off to watch my best friend graduate with their PhD. (Don't worry, my colleagues in London will be bringing you y… [+4626 chars]"
Journal du geek,Gregori Pujol,Netflix : le partage de compte en France c’est terminé !,"Netflix vient d'annoncer l'envoi d'emails à ses utilisateurs français pour leur annoncer la fin du partage de compte !
Netflix : le partage de compte en France c’est terminé !",https://www.journaldugeek.com/2023/05/23/netflix-le-partage-de-compte-en-france-cest-termine/,2023-05-23T18:00:43Z,"Netflix vient d'annoncer l'envoi d'emails à ses utilisateurs français pour leur annoncer la fin du partage de compte !Après des mois de rumeurs et de menaces, les utilisateurs Français de Netflix von… [+4212 chars]"
Journal du geek,Gregori Pujol,Netflix : le partage de compte en France terminé dès cet été ?,"Selon ExpressVPN, le partage de compte Netflix pourrait arriver brutalement en France cet été !
Netflix : le partage de compte en France terminé dès cet été ?",https://www.journaldugeek.com/2023/05/23/netflix-le-partage-de-compte-en-france-termine-des-cet-ete/,2023-05-23T15:45:43Z,"Selon ExpressVPN, le partage de compte Netflix pourrait arriver brutalement en France cet été !Dès cet été, les utilisateurs Français de Netflix devront payer pour partager leur compte en dehors de l… [+2471 chars]"
Journal du geek,Amandine Jonniaux,"C’est la crise, Netflix prend la pire décision pour faire des économies","Netflix n'a plus de budget, et va couper dans ses productions originales.
C’est la crise, Netflix prend la pire décision pour faire des économies",https://www.journaldugeek.com/?p=50412346,2023-05-16T14:00:47Z,"Netflix n'a plus de budget, et va couper dans ses productions originales.Après avoir perdu un million d’abonnés en Espagne depuis la fin du partage de compte, Netflix continue de chercher de nouvelle… [+2625 chars]"
heise online,Andreas Knobloch,Netflix will Ausgaben in diesem Jahr um 300 Millionen US-Dollar kürzen,"Der US-Streaming-Dienst will seine Kosten reduzieren. Wohl auch deshalb, weil die angekündigten Einschränkungen beim Passwort-Sharing verschoben wurden.",https://www.heise.de/news/Netflix-will-Ausgaben-in-diesem-Jahr-um-300-Millionen-US-Dollar-kuerzen-9056670.html,2023-05-15T20:22:00Z,"Netflix plant, seine Ausgaben in diesem Jahr um 300 Millionen US-Dollar zu kürzen. Das berichtete die US-Tageszeitung Wall Street Journal am Freitag und beruft sich dabei auf mit der Angelegenheit ve… [+2575 chars]"
Netflix.com,John Gruber,Recommended: ‘Chimp Empire’,,https://www.netflix.com/title/81311783,2023-05-22T20:30:00Z,"Chimp Empire is a four-part (an hour-ish each) documentary on Netflix. It’s one of the best, most enjoyable, most engaging, and most informative cinematic experiences I’ve ever had. My wife and I dev… [+2050 chars]"
heise online,Frank Schräer,"Donnerstag: Kfz-Schilder mit unfreiwilliger Werbung, Ende für ersten Chromecast","Nummernschilder mit Casino-URL + Chromecast von 2013 ohne Support + Rückgang bei Kartenbetrug + DSGVO-Bußgeld für DKB + #heiseshow über Netflix, EA & Tesla",https://www.heise.de/news/Donnerstag-Kfz-Schilder-mit-unfreiwilliger-Werbung-Ende-fuer-ersten-Chromecast-9147275.html,2023-06-01T04:30:00Z,"Knapp 800.000 Fahrzeuge aus Maryland werben unfreiwillig für zweifelhafte Online-Angebote. Der Staat druckte eine Internetadresse auf die Kennzeichen, ohne sich etwas dabei zu denken. Denn nach Besit… [+4122 chars]"
CNET,Kourtnee Jackson,Keep Up With What's Streaming on TV Using These 5 Free Apps - CNET,You won't have to ask Google or your friends about release dates.,https://www.cnet.com/tech/services-and-software/keep-up-with-whats-streaming-tv-using-these-5-free-apps/,2023-05-25T11:15:03Z,"SeriesGuide is available on Android and Amazon Fire TV, and touts that it has no ads and doesn't track your personal information.
When you first sign on to SeriesGuide, it gives you the option to bl… [+1421 chars]"
CNET,Attila Tomaschek,"With TVOS 17, You'll Be Able to Download a VPN to Apple TV - CNET",Using a VPN on your Apple TV device will get a whole lot easier with the release of TVOS 17.,https://www.cnet.com/tech/services-and-software/with-tvos17-you-can-finally-download-a-vpn-to-apple-tv/,2023-06-08T17:00:07Z,"As Apple kicked off WWDC 2023 on Monday, all eyes were on the Vision Pro headset. But buried at the bottom of a press release published by the company the same day was another announcement worth gett… [+1713 chars]"
9to5Mac,Filipe Espósito,Netflix makes it easier for users to navigate through ‘My List’ on its mobile app,"Netflix on Monday announced an update to its iOS and Android app that refines the experience of using the “My List” feature, which lets users save movies and shows they want to watch later. With the update, My List now has filter options, making it easier for…",https://9to5mac.com/2023/05/22/netflix-makes-it-easier-for-users-to-navigate-through-my-list-on-its-mobile-app/,2023-05-22T23:12:00Z,"Netflix on Monday announced an update to its iOS and Android app that refines the experience of using the “My List” feature, which lets users save movies and shows they want to watch later. With the … [+2196 chars]"
Golem.de,Sebastian Grüner,Streaming: Netflix nennt erstmals Zahlen zu Werbeabo,"In einer Präsentation für Werbekunden nennt Netflix erstmals 5 Millionen monatlich aktive Nutzer für das neue Werbeabo. (Netflix, Streaming)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fstreaming-netflix-nennt-erstmals-zahlen-zu-werbeabo-2305-174261.html&referer=https%3A%2F%2Ft.co%2F7ef2b49537,2023-05-18T09:16:03Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
Presse-citron,Manon Carpentier,Comment se désabonner de Netflix ?,Vous avez envie de faire vos adieux à Netflix ? On vous explique comment faire.,https://www.presse-citron.net/?p=555075,2023-05-24T09:30:01Z,"Nous y voilà. Après des mois de menaces, cest la fin du partage de compte sur Netflix en France. Si vous espérez continuer à profiter de cette possibilité, il va falloir passer à la caisse. En effet,… [+2710 chars]"
The Guardian,Phil Harrison,The Crowded Room to Significant Other: the seven best shows to stream this week,"Tom Holland and Amanda Seyfried star in an explosive psychological thriller, while Katherine Parkinson’s sweet new romantic comedy takes some beating Continue reading...",https://www.theguardian.com/tv-and-radio/2023/jun/02/the-crowded-room-to-significant-other-the-seven-best-shows-to-stream-this-week,2023-06-02T06:00:07Z,"Pick of the week
The Crowded Room
Danny Sullivan describes his teenage self as sad and moody and its a description that works for the show, too. Starring Tom Holland, this series adapted from Danie… [+9870 chars]"
